COD_MESE,CD_CLUSTER,DES_TIPO_GIORNO,NUM_S_RICERCHE,NUM_S_RICERCHE_NOREG,NUM_S_RICERCHE_AREA1,NUM_S_RICERCHE_AREA2,NUM_S_RICERCHE_AREA3,NUM_S_RICERCHE_AREA4,NUM_S_RICERCHE_VATICANO,NUM_S_RICERCHE_ROMA,NUM_S_RICERCHE_MILANO,NUM_S_RICERCHE_NAPOLI,NUM_S_RICERCHE_TORINO,NUM_S_RICERCHE_LAVORATIVA,NUM_S_RICERCHE_NON_LAVORATIVA,NUM_S_SESSIONI_UNICHE
201308,collezionismo,Festivo,48482,39845,3196,2139,1890,1412,0,285,200,120,304,37373,11109,34782
201308,industriabase,Festivo,32415,5833,8332,7237,5487,5526,0,544,594,277,413,22678,9737,22196
201308,magazzinaggio,Festivo,278,41,67,70,49,51,0,2,16,4,0,145,133,191
201308,riscaldamento,Festivo,6046,443,1926,1153,1248,1276,0,203,85,101,136,4459,1587,3562
201308,sportmontagna,Festivo,2770,122,1074,803,404,367,0,44,28,5,6,1960,810,1733
201308,autoassistenza,Festivo,42722,1621,13175,9837,10360,7729,0,1494,573,390,848,31678,11044,23253
201308,legnoartigiani,Festivo,4353,223,1381,1280,846,623,0,74,93,20,56,3249,1104,2477
201308,movimentoterra,Festivo,9973,1044,2725,2542,1924,1738,0,58,54,6,44,7375,2598,5840
201308,rappresentanti,Festivo,1788,251,322,395,368,452,0,34,20,46,11,1273,515,1344
201308,trasportomassa,Festivo,8726,318,1909,1539,1490,3470,0,86,112,281,39,6666,2060,6061
201308,autoindustriali,Festivo,4961,3209,475,445,373,459,0,27,19,9,16,3665,1296,3600
201308,chimicaimpianti,Festivo,3542,323,1143,670,704,702,0,24,99,13,55,2748,794,2303
201308,condizionamento,Festivo,1780,158,434,488,382,318,0,37,21,8,24,1267,513,1007
201308,energiaimpianti,Festivo,3935,285,1247,857,725,821,0,154,271,72,65,2847,1088,2453
201308,elettrodomestici,Festivo,30896,2462,9207,5987,6652,6588,0,1464,585,343,663,23851,7045,17813
201308,ediliziamateriali,Festivo,15295,1080,4412,3483,3238,3082,0,323,178,74,184,11403,3892,8791
201308,impiantielettrici,Festivo,2651,357,784,673,456,381,0,60,30,14,68,1865,786,1844
201308,meccanicaofficina,Festivo,6295,429,1956,1696,1121,1093,0,59,33,23,33,4630,1665,4131
201308,arredamentoesterni,Festivo,11704,2751,2926,1789,2099,2139,0,493,70,45,184,8903,2801,7745
201308,ediliziamacchinari,Festivo,2736,242,734,718,506,536,0,31,27,19,21,2014,722,1752
201308,impiantindustriali,Festivo,500,60,139,171,72,58,0,5,4,2,4,358,142,416
201308,abbigliamentoproduci,Festivo,6643,1267,1636,1525,1401,814,0,204,170,37,102,4576,2067,4372
201308,abbigliamentoinfanzia,Festivo,6969,450,1771,1622,1346,1780,0,152,76,50,245,5362,1607,4118
201308,abbigliamentospeciale,Festivo,7647,610,2027,1444,1580,1986,0,306,253,94,220,5410,2237,4562
201308,pub,Lavorativo,218502,34278,50032,35904,42219,56069,0,4603,2458,1851,2489,171693,46809,121967
201308,arte,Lavorativo,6806,2663,1337,958,1109,739,0,171,210,68,236,5396,1410,5115
201308,auto,Lavorativo,224374,11339,66291,46461,45793,54490,0,7353,5502,1745,3541,191739,32635,112843
201308,coop,Lavorativo,65524,4441,16661,14911,15221,14286,4,2453,1110,635,703,56920,8604,42466
201308,foto,Lavorativo,90031,4949,27822,20485,18524,18251,0,3198,2952,836,2436,75458,14573,51391
201308,luce,Lavorativo,19237,2028,5355,4780,3952,3122,0,594,330,91,439,15517,3720,10664
201308,moto,Lavorativo,108882,16990,32474,23565,20660,15192,1,3823,2564,894,2518,89917,18965,61437
201308,tubi,Lavorativo,7594,1021,2642,1536,1230,1165,0,41,118,23,80,6062,1532,4994
201308,vini,Lavorativo,83151,7507,19347,20467,17369,18461,0,836,561,288,635,69361,13790,46646
201308,acqua,Lavorativo,11937,1782,2060,2496,2357,3242,0,102,118,98,109,10123,1814,7865
201308,carta,Lavorativo,4058,785,1173,900,804,396,0,40,68,12,92,3403,655,2530
201308,dolci,Lavorativo,107464,12348,27878,20521,21040,25676,1,1806,1235,610,1444,87676,19788,63785
201308,forni,Lavorativo,2156,402,433,482,568,271,0,16,17,32,17,1718,438,1580
201308,gomma,Lavorativo,27875,3918,9430,7763,4352,2412,0,246,524,135,594,23361,4514,16276
201308,marmi,Lavorativo,24319,1998,5783,5597,5899,5042,0,443,133,96,145,20498,3821,14282
201308,notai,Lavorativo,67855,11151,14471,12207,12751,17275,0,2390,1561,946,985,57686,10169,40254
201308,pompe,Lavorativo,8285,1391,1737,2151,1698,1308,0,92,67,37,85,6421,1864,5597
201308,porte,Lavorativo,23328,1572,7243,6917,4397,3199,0,796,741,292,573,19489,3839,13565
201308,scale,Lavorativo,9892,747,2502,2659,2241,1743,0,162,88,62,98,8069,1823,5853
201308,sport,Lavorativo,188695,30233,53839,38293,37320,29010,0,8457,5301,2186,4568,149971,38724,106398
201308,vetri,Lavorativo,42461,7581,11566,9353,8079,5882,0,988,735,167,853,35796,6665,24920
201308,banche,Lavorativo,170786,10833,46526,38237,37588,37602,0,7341,5805,3069,3689,157790,12996,99057
